Surname,First name(s),Full name,Father's occupation,F occ grouping,Married surname,Husband's occupation,H occ grouping,Family Tree,Birthdate,Year of birth,Place of birth,Region of birth,Wikidata identifier of place,Country born,Grouped country born,Parental birthplace,Parental group,Religion,Date of death,Year of death,Place of death,Wikidata death,Region of death,Year of student registration,College,Col2,Region of College,First Qual,Group,Primary Qual,Other,1890 Location,Location 1900,Location 1905,Location 1907,Location 1908,Location 1910,Region 1910,Region 1915,Specialism,Position 1915,Region 1925,Specialism 1925,Position 1925,Missionary,India connection,China Connection,War experience,Type of war service,Obituary,Age at reg as a doctor,Age at death,Age at registration as a students,Length of study,Comments,(for Scots) Fees paid,Notes
Hancock,Mary Deborah,Mary Deborah Hancock,Tea Broker & Agent,Dealers and Agents,Barfett,CoE minister,Minister,Yes,13 Sep 1877,1877,Surrey,SE England,,England,England,England,Eng/Eng,Anglican,,1961,Cornwall,,England,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Triple,,,,,Edinburgh,,Surrey,England,,,,,,,,,,Royaumont 1-Dec-14 1-Nov-15,SWHFS,,29,84,23,6,,,
Harper,Frances Margaret,Frances Margaret Harper,Ceylon merchant,Merchant,,,,Yes,,1877,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1945,Belgian Congo,,Africa,1897,ESMW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,CDTC,,,,,,,,Stoke on Trent,NS,AMOH,,,,Belgian Congo,,,Malta,Malta,,26,68,20,6,,31.1,
Harper,Jeannie Jamie,Jeannie Jamie Harper,Inland Revenue,Official,,,,,27-8-1890,1890,Rafford,NE Scotland,,Scotland,Scotland,Irish/Scottish,Ir/Scot,,24/09/1934,1934,Moray,,Scotland,1910,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,Edinburgh,NS,NS,,,,,,,26,44,20,,,,
Hatchard,Ada Annie,Ada Annie Hatchard,Millowner -- flour,Retail,Orr,Doctor,Medical,Yes,12 Mar 1871,1872,Dorset,South of England,,England,England,England,Eng/Eng,,,1952,Edinburgh,,Scotland,1900,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,Edinburgh,,Edinburgh,Edinburgh,Edinburgh,Anaesthetics,NS,Edinburgh,NS,NS,No,,,,,,33,80,28,5,,,
Hay,Jane Elizabeth,Jane Elizabeth Hay,Foreman engineer,skilled,Ewing,Medical,Medical,CAR,7-8-1892,1892,Mid Calder,SE Scotland,,Scotland,Scotland,Scottish/English,Scot/Eng,,07/08/1982,1982,London,,England,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,24,90,19,,,,
Henderson,Eleanor Russell,Eleanor Russell Henderson,Presbyterian Minister,Minister,Elder,Doctor,Medical,Yes,14 May 1876,1876,Crieff,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1962,North Berwick,,Scotland,1892,EMCW,Edinburgh,Scotland,1901,Edinburgh,Edinburgh,,,,,Leith,,,,Edinburgh,Hon. Physician,RHSC,Edinburgh,Hon. Physician,RHSC,No,,,,,,25,86,16,9,,,
Henderson,Elizabeth,Elizabeth Henderson,Financier and mineowner,Commerce,Miller,Presbyterian Minister,Minister,Yes,,1873,Kensington,London,,England,England,England/Scotland,Eng/Scot,Presbyterian,,1909,London,,England,1891,ESMW,Edinburgh,Scotland,1896,Edinburgh,Triple,MD Brux 1896,,Forfar,London,London,,London,London,,,,,,,No,,,,,,23,36,18,5,,,
Henderson,Hester Morris,Hester Morris Henderson,Iron Merchant,Retail,,,,Yes,,1874,Liverpool,NW England,,England,England,England/Scotland,Eng/Scot,Anglican,,1938,"Tunbridge Wells, Kent",,England,1902,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,Norfolk,,,,,,,,,,,QMAAC,"Abbeville, France 1918-19",14062,34,64,28,6,,,
Hendrie,Nettie Dick,Nettie Dick Hendrie,Watchmaker & Jeweller,Retail,Simonsen,Professor,Teacher,Yes,10 Jun 1883,1883,Nairn,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,,,1960,Buckinghamshire,,England,1901,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,,,NS,NS,NS,Dehra Dun,NS,NS,Dufferin,"Worked, Dehra Dun, 1920; Madras ?",,,,,26,79,20,6,,133.7,
Hendry,Wilhelmina Weir,Wilhelmina Weir Hendry,Legal Clerk,Offical,Higlett,Auditor,Professional,Yes,28-9-1893,1893,Edinburgh,SE Scotland,,Scotland,Scotland,,,,28-Apr-68,1968,Hertfordshre,,England,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,Edinburgh,NS,NS,,,,,,,23,75,18,,,,
Henslow,Julia Veronica,Julia Veronica Henslow,CoE minister,Minister,Christie,CoE minister,Minister,yes,30 Aug 1872,1872,Wiltshire,SW England,,England,England,England,Eng/Eng,Anglican,,1960,Hampshire,,England,1903,ESMW2,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,Glasgow,Glasgow,Glasgow,NS,NS,Bath,NS,RMO Eastern Dispensary,No,,,"AMO, Military Hospital; Med Rec Controller, Women's Forces, Birmingham & Midlands",RAMC,,41,88,31,10,,,
Herzfeld,Gertrud Marianne Amalie,Gertrud Marianne Amalie Herzfeld,Stockbroker,Commerce,,,,yes,6 Jan 1890,1890,London,London,Q84,England,England,Austria,Oth/Oth,Jewish,,1981,Edinburgh,,Scotland,1908,ESMW2,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,Summer 1981,24,91,18,6,,,
Hewat,Helen Gladstone,Helen Gladstone Hewat,Presbyterian Minister,Minister,,,,CAR,25 Sep 1891,1891,Prestwick,West of Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,27/11/1963,1963,Edinburgh,,Scotland,1910,Edinburgh,Edinburgh,Scotland,1915,Edinburgh,Edinburgh,,,,,,,,,,,,Manchuria,NS,NS,China,Poona,Worked,,,,24,72,19,,,,
Heyworth,Florence Winifred,Florence Winifred Heyworth,Broker,Commerce,Hind,CoE minister,Minister,yes,16 May 1885,1885,Lancashire,NW England,,England,England,England,Eng/Eng,Anglican,,1969,Preston,,England,1909,ESMW2,Edinburgh,Scotland,1914,Edinburgh,Triple,,,,,,,,,"Royaumont, France",NS,House Surgeon,China,NS,Mission hospital,EPM,,Missionary,Royaumont 1-Dec-14 1-Jun-15,SWHFS,,29,84,24,5,,,
Hill,Isabel,Isabel Hill,Watchmaker & Jeweller,Retail,,,,Yes,23 Nov 1871,1872,Paisley,West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,12267,1933,London,,England,1897,"Glasgow, Paris, Ed., Berlin",Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,,,Birmingham,England,,,,,,,,,,Endell Street,Endell,12328,34,61,25,9,,,
Hill,Janette Theresa,Janette Theresa Hill,Presbyterian Minister,Minister,,,,Yes,24 Mar 1875,1875,"Chicago, Illinois",USA,,USA,Other,Scotland/American,Scot/Oth,Presbyterian,,1961,Birmingham,,England,1896,ESMW2,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,Fife,Scotland,Birmingham,NS,ASMO Smethwick,Birmingham,MCW,"MO, MCW, Birmingham",,,,,,,36,86,21,15,,71.8,
Hoashoo,Singcha,Singcha Hoashoo,Landowners,Landowner & Gentleman,Hoahing,Merchant,Merchant,Yes,16 April 1886,1886,British Guiana,S America,,British Guiana,Other,Chinese,Oth/Oth,Anglican,,1990,London,,England,1906,EMCW,Edinburgh,Scotland,1911,Edinburgh,Triple,,,,,,,,,Ireland?,NS,NS,NS,NS,NS,,,,,,,25,104,20,5,,,
Hodson,Eleanor Tessiet,Eleanor Tessiet Hodson,Brewer,Manufacturer,,,,Yes,20 Mar 1870,1870,"Godalming, Surrey",SE England,,England,England,England,Eng/Eng,Anglican,,1936,Kent,,England,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,Derby,,,Cork,Ireland,France,NS,Surgeon,Kent,NS,NS,Dufferin,"Worked, Calcutta",,"Royaumont 1-Jul-16 22-Jul-17; also Military hospital, Canterbury",SWHFS,,30,66,25,5,,,
Hoffman,Julie Elise,Julie Elise Hoffman,Builder,Builder,La Cour,Landowner,Landowner & gentleman,Yes,22 July 1882,1882,Esbjerg,Denmark,,Denmark,Other,Czech/Danish,Oth/Oth,Lutheran,,1943,Denmark,,Europe,1906,ESMW2,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,Bangalore,India,Bangalore,NS,NS,Denmark,NS,NS,Danish,"Worked, Bangalore",,,,,30,61,24,6,,,
Hogg,Georgina Catherine,Georgina Catherine Hogg,Brass Founder,Manufacturer,Ross,Doctor,Medical,Yes,6 Apr 1874,1874,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1948,Edinburgh,,Scotland,1892,EMCW,Edinburgh,Scotland,1898,Edinburgh,Triple,,,,,Hartlepool,,,,,,,,,,,,,,,,24,74,18,6,,,
Hogg,Jean or Jane Smith,Jean or Jane Smith Hogg,Grain Merchant,Retail,,,,Yes,,1876,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1934,"Miraj, India",,S Asia,1899,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,Edinburgh,,Nagpur,India,,,,,,,Yes,"Worked, CP",,,,,29,58,23,6,,,
Hogg,Katie Emily,Katie Emily Hogg,Merchant,Retail,Neill,Civil servant,officer,Yes,8 Jan 1870,1870,"Croydon, Surrey",London,,England,England,England/Scotland,Eng/Scot,Anglican,,1951,New Zealand,,Australasia,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Sydney,,,,,,,,,,,,,,,,30,81,25,5,,,
Hudson,Edith Isabella,Edith Isabella Hudson,Civil Engineer,Engineer,Stewart-Fowler,Doctor,Medical,Yes,2 May 1869,1869,Madras,India,,India,India & Ceylon,Anglo-Indian,SA/SA,Anglican,,1924,Fifeshire,,Scotland,1889,EMCW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,,Edinburgh,Edinburgh,,Edinburgh,Edinburgh,,,,,,,No,Born,,,,,29,55,20,9,"1889 Madras, 1894 Edinburgh",,
Hunter,Gwendolyn Glendinning,Gwendolyn Glendinning Hunter,Doctor,Medical,Davis then Newth,Doctor,Medical,Yes,8 May 1885,1885,Linlithgow,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1962,Nottingham,,England,1906,EMCW,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,Linlithgow,Scotland,Nottingham,Surgeon,"House Surgeon, Children's hospital",Nottingham,NS,NS,,,,,,,27,77,21,6,,,
Hutchison,Alice Marion,Alice Marion Hutchison,Medical Missionary,Medical and Minister,,,,Yes,12 Aug 1874,1874,"Dalhousie, UP",India,,India,India & Ceylon,Scotland,Scot/Scot,Presbyterian,,1953,Buckinghamshire,,England,1893,ESMW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,Gujrat,Edinburgh,,,,Edinburgh,Physician,EHWC,,,,Women’s Association for Foreign Missions,"Born & Worked, Punjab",,Calais Contingent 01-Nov-14 1-Apr-15,,,25,79,19,6,,,
Hutton,Gertrude Mary,Gertrude Mary Hutton,Missionary,Minister,,,,Yes,4 Sep 1873,1873,Benares,India,,India,India & Ceylon,Scotland,Scot/Scot,Congregational,,1940,Liverpool,,England,1893,ESMW,Edinburgh,Scotland,1896,Edinburgh,Triple,,,,,,,,Liverpool,Liverpool,Anaesthetics,"MO, dispensary for women",Liverpool,Anaesthetics,"MO, dispensary for women",No,Born,,,,14702,23,67,20,3,Liverpool,,
Ievers,Nena Beatrice,Nena Beatrice Ievers,Ceylon Civil Service,Government official,Izat,Ceylon civil service,officer,Yes,,1883,Ceylon,Ceylon,,Ceylon,India & Ceylon,Ireland,Ir/Ir,Anglican,,1957,Edinburgh,,Scotland,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Triple,,,,,Leith,,,,,,,,,,,Born & lived Ceylon,,,,21002,23,74,17,6,Married Ceylon civil servant,,
Inglis,Elsie Maud,Elsie Maud Inglis,ICS Officer,Government official,,,,Yes,,1864,Naini Tal,India,Q773213,India,India & Ceylon,Anglo-Indian,SA/SA,Presbyterian,,1917,Newcastle,,England,1888,ESMW & EMCW,Edinburgh,Scotland,1892,Edinburgh,Triple,,,,Edinburgh,Edinburgh,,Edinburgh,Edinburgh,Edinburgh,Obst&Gyn,EHWC,,,,No,Born,,Kraguievatz 1-Apr-15 29-Feb-16,SWHFS,23559,28,53,24,4,,,
Inglis,Florence Elsie,Florence Elsie Inglis,Indian Army,Army Officers,,,,Yes,,1887,Rawalpindi,India,,India,India & Ceylon,England/Anglo-Indian,Eng/SA,Presbyterian,,1960,Cornwall,,England,1908,St Andrews & EMCW,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,Born,,Royaumont 4-Sep-17 1-Apr-18,SWHFS,,27,73,21,6,,88.4,
Innes,Flora Riddell,Flora Riddell Innes,Traveller,Commerce,,,,Yes,20 Feb 1886,1886,Off Queensland,Australia,Q34932,Australia,Empire,Scotland,Scot/Scot,Presbyterian,,1952,Inverness,,Scotland,1904,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,Sholinghur,India,,,,,,,Australian Presbyterian,"Worked, Madras",,,,,23,66,18,5,,109.4,
Irving,Hannah Margaret,Hannah Margaret Irving,Doctor,Medical,,,,Yes,,1881,New Zealand,NZ,,New Zealand,Empire,England,Eng/Eng,,,1972,NZ,,Australasia,1902,ESMW2,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,South Africa,NS,Mission hospital,South Africa,ns,Mission hospital,S Africa,,,,,,29,91,21,8,"1902 NZ, 1905 UK",81.18,
Jackson,Ada,Ada Jackson,Doctor,Medical,,,,Yes,,1869,Scarborough,NE England,,England,England,England,Eng/Eng,Anglican,,1956,Hull,,England,1899,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,36,87,30,6,,,
Jackson,Annie,Annie Jackson,Paper manufacturer and Farmer,Manufacturer,,,,Yes,,1863,Garstang,NW England,,England,England,England,Eng/Eng,Quaker,,1934,Derbyshire,,England,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,MD Ed 1915,,,,Lancashire,,Derbyshire,England,Derby,Anaesthetics,PP with Helen Greene,Derby,Anaesthetics,Derby Hospital for Women,,,,,,,41,71,36,5,,,
Jex-Blake,Bertha,Bertha Jex-Blake,Minister CoE,Minister,,,,Yes,,1868,Rugby,West Midlands,,England,England,England,Eng/Eng,Anglican,,1915,Yorkshire,,England,1897,ESMW & EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,35,47,29,6,,,
Johnston,Blanche Mary Zillah,Blanche Mary Zillah Johnston,Wheelwright,Manufacturer,Smart,Doctor,Medical,Yes,,1881,Liverpool,NW England,,England,England,England,Eng/Eng,Anglican,,1947,Liverpool,,England,1901,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,DPH,,,,,,Liverpool,,,,NS,Liverpool,DPH,NS,,,,,,,20,66,20,6,,,
Johnston,Elizabeth Morton,Elizabeth Morton Johnston,Gunpowder manufacturer and Farmer,Manufacturer,Taylor,Merchant,Merchant,Yes,27 Mar 1870,1870,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,21525,1958,Dalkeith,,Scotland,1892,EMCW,Edinburgh,Scotland,1899,Edinburgh,Triple,,,,Dalkeith,Dalkeith,,Dalkeith,,,,Retired,,,,Ludhiana CMS,"Worked, Punjab",,,,,29,88,22,7,,,
Kanga,Khorshed Sorabji,Khorshed Sorabji Kanga,NK,NK,,,,Yes,,1881,India,India,,India,India & Ceylon,Indian,SA/SA,Parsi,,A1918,,,,1900,Hyderabad & Ed,Edinburgh,Scotland,1906,Edinburgh,Triple,Hyderabad,,,,,,Hyderabad,,,,,,,,Dufferin,Born & worked,,,,India,,,19,6,,,
Kay,Janet McIntyre,Janet McIntyre Kay,Presbyterian Minister,Minister,,,,Yes,,1867,Castle Douglas,SW Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1943,Paisley,,Scotland,1889,ESMW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,Paisley,Paisley,Paisley,,Paisley,,,,NS,,,,,,,,,Scotland,Renfrewshire,NS,22,6,,,
Keers,Margretta Jane,Margretta Jane Keers,Physician and surgeon,Medical,Jenkins,,,Yes,3 Nov 1889,1889,"Ballymoney, Antrim",Ulster,Q805450,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1960,Northampton,,England,1908,EMCW,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,,,NS,Northampton,NS,ASMO Northants,,,,,,,Belfast,NS,19,5,,,
Kellgren,Annjuta,Annjuta Kellgren,Physiotherapist,Paramedical,Cyriax,Doctor,Medical,Yes,,1875,London,London,Q84,England,England,Swedish/Russian,Oth/Oth,Anglican,,1965,London,,England,1897,LSMW & EMCW,Edinburgh,Scotland,1904,Edinburgh,Triple,,,,London,London,,London,,,,,,,,,,,,,,22,90,22,7,Sisters,,
Kerby,Cicely Mary,Cicely Mary Kerby,CoE Minister,Minister,Bruce,Minister,Minister,Yes,,1886,Lancashire,NW England,,England,England,England,Eng/Eng,Anglican,,1942,Argentina,,America,1906,EMCW,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,,,Worksop,NS,MO Worksop dispensary,Forfar,NS,NS,,,,,,,25,56,20,5,Scots Kirk in Buenos Aires,,
Kerr,Muriel Hamilton,Muriel Hamilton Kerr,Doctor,Medical,Fleming,Doctor,Medical,Yes,9 Aug 1891,1891,Winnipeg,Canada,,Canada,North America,Can/Sco,Can/Scot,,01-Jul-64,1964,,,,1909,Edinburgh,Edinburgh,Scotland,1915,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,24,73,18,,,,
Kirk,Catherine,Catherine Kirk,Grocer & House Proprietor,Retail,,,,Yes,,1881,Fifeshire,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1966,Edinburgh,,Scotland,1901,St Andrews & EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,,,Fifeshire,NS,NS,,,,,,,,,,26,85,20,6,,,
Kurz,Lena or Lina,Lena or Lina Kurz,NK,NK,Walker,Doctor,Medical,Yes,,1881,Weidersheim,Germany,,Germany,Other,Germany,Oth/Oth,Lutheran,,1956,Birmingham,,England,1904,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,MD Ed 1912,,,,,,,,Birmingham,NS,MO Various,Birmingham,NS,MO various,,,,,,20729,29,75,23,6,,,
Laird,Janet Stewart,Janet Stewart Laird,Free Church Minister,Minister,Hartley,Doctor,Medical,Yes,,1888,Kincardine,NE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1935,Staffordshire,,England,1907,ESMW2,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,,,London Unit 1-Dec-16 1-Sep-17,SWHFS,,24,47,19,5,,?,
Landon,Ethel,Ethel Landon,Civil Engineer,Engineer,,,,Yes,,1878,Indore,India,,India,India & Ceylon,England,Eng/Eng,,,1971,Nottingham,,England,1900,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,Lahore,,Nasik,India,,,,,,,Zenana BMM,"Born & Worked, Punjab",,,,,27,93,22,5,,,
Larsen,Christine,Christine Larsen,NK,NK,Bodding,Missionary,Missionary,Yes,,1883,Denmark,Denmark,,Denmark,Other,Danish,Oth/Oth,Lutheran,,1940,Odense,,Russia,1907,ESMW2,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,,,,,,,Santal,"Worked, CP, 1920",,,,,29,57,24,5,,,
Leach,Catharine Francis Marianne,Catharine Francis Marianne Leach,Gentleman,Landowner & Gentleman,Stack,Clerk,officer,Yes,,1859,Canterbury,New Zealand,,New Zealand,Empire,Wales/England,Eng/Eng,Anglican,,1943,NZ,,Australasia,1896,ESMW,Edinburgh,Scotland,1901,Edinburgh,Triple,,,,,Africa,,Kanpur,,,,,,,,,"Worked, Kanpur",,,,,42,84,37,5,,,
Lee,Mary Buchanan,Mary Buchanan Lee,Bootmaker,Manufacturer,,,,Yes,,1870,Liverpool,NW England,,England,England,England/Ireland,Eng/Ir,Anglican,,1955,Liverpool,,England,1890,ESMW & EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,,,Liverpool,,Liverpool,England,Liverpool,NS,MO PO,Liverpool,NS,MO PO & Hon Phy Samaritan Hospital,,,,,,,25,85,20,5,,,
Leiper,Janet,Janet Leiper,Baker,Retail,,,,Yes,,1880,Lanarkshire,West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1966,Wrexham,,England,1904,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,Lanark,Scotland,Lanarkshire,NS,NS,,,,,,,,,,30,86,24,6,,,
Lenwood,Norah,Norah Lenwood,Independent Minister,Minister,Bryson,Medical Missionary,Medical and Minister,Yes,,1877,Sheffield,NE England,,England,England,England,Eng/Eng,Congregational,,1947,Essex,,England,1895,LSMW & EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,Sheffield,China,,China,China,,,,China,NS,Mission hospital,LMS,,Worked,,,,25,70,18,7,,,
Lethem,Cecil Robertson,Cecil Robertson Lethem,Provision Merchant/Grocer,Retail,Norrie,Engineer,Engineer,Yes,,1883,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1954,Stirlingshire,,Scotland,1902,ESMW2,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,,,Huddersfield,NS,NS,Glasgow,NS,NS,,,,,,,26,71,19,7,,,
Lewis,Sybil Lonie,Sybil Lonie Lewis,Presbyterian Minister,Minister,,,,Yes,,1874,Chester,NW England,,England,England,Ireland/England,Ir/Engl,Presbyterian,,1918,Hull,,England,1899,EMCW,Edinburgh,Scotland,1905,Edinburgh,Triple,,,,,Larbert,,,,,,,,,,,,,Valjevo 1-Jul-15 12-Feb-16 (Died 8 March 1918),SWHFS,,31,44,25,6,,,
Lindsay,Anna Sara,Anna Sara Lindsay,Farmer,Farmer,,,,Yes,,1877,Derry,Ulster,,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1950,London,,England,1901,EMCW,Edinburgh,Scotland,1904,Edinburgh,Triple,,,,,,,Cornwall,England,,,,,,,,,,,,,27,73,24,3,,,
Little,Isabelle Margaret,Isabelle Margaret Little,Land Agent,Dealers and Agents,,,,Yes,,1889,Northants,East Midlands,,England,England,Scotland,Scot/Scot,Anglican,,1969,Nottingham,,England,1907,ESMW2,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,Merryflats Hospital,,,,,,,,,,,25385,23,80,18,5,,65.2,
Logie,Isabella,Isabella Logie,Marine Insurance Broker,Commerce,,,,Yes,,1873,Dundee,Central Scotland,Q123709,Scotland,Scotland,Scotland,Scot/Scot,,,1930,Perthshire,,Scotland,1896,Dundee & EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,,,,,Dundee,,Fife,Scotland,California,NS,NS,California,NS,NS,,,,,,,31,57,23,8,,,
Low,Mary,Mary Low,Clerk,Official,Lowry,Doctor,Medical,Yes,,1882,Dundee,Central Scotland,Q123709,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1975,Perthshire,,Scotland,1904,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,27,93,22,5,,126,
Lyon,Eva Mary,Eva Mary Lyon,Grocer,Retail,,,,Yes,,1886,"Yorkshire, West",NE England,,England,England,England,Eng/Eng,,4234,1911,Edinburgh,,Scotland,1906,EMCW,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,,,Died,Dead,Dead,Dead,Dead,Dead,,,,,,,25,25,20,5,,,
MacCallum,Alexandra Barbara,Alexandra Barbara MacCallum,Presbyterian Minister,Minister,Lothian,Psychologist,Teacher,Yes,4 Aug 1885,1886,"Ardnamurchan, Argyllshire",West of Scotland,Q68814878,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1978,Edinburgh,,Scotland,1903,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,DPH,NS,Edinburgh,DPH,NS,No,,,,,,23,92,17,6,,124.19,
MacCallum,Margaret Nathaniel,Margaret Nathaniel MacCallum,Presbyterian Minister,Minister,Dunstan,Doctor,Medical,Yes,,1890,"Ardnamurchan, Argyllshire",West of Scotland,Q68814878,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1972,Edinburgh,,Scotland,1908,EMCW,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,Argyll,NS,NS,London,DPH,NS,No,,,,,,23,82,18,5,,105,
Macdonald,Elizabeth Greer,Elizabeth Greer Macdonald,Free Church Minister,Minister,Smith,Medical Missionary,Medical and Minister,Yes,,1876,Calcutta,India,Q1348,India,India & Ceylon,Scotland,Scot/Scot,Presbyterian,,1955,"Cupar, Fife",,Scotland,1894,ESMW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,Rampur,,,,,,,,,,,"Born & Worked, Bombay",,,,,23,79,18,5,,,
Macfarlane,Hilda Maude,Hilda Maude Macfarlane,Brass Wire Cloth Maker,Manufacturer,Sturrock,Doctor,Medical,Yes,,1875,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland/England,Scot/Engl,Congregational,,1962,Edinburgh,,Scotland,1894,EMCW,Edinburgh,Scotland,1900,Edinburgh,Triple,,,,Larbert,Burntisland,,Perth,Scotland,,,,,,,,,,,,,25,87,19,6,,,
MacGregor,Jessie Maclaren,Jessie Maclaren MacGregor,Builder,Builder,,,,Yes,,1863,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1906,"Colorado, USA",,America,1888,ESMW,Edinburgh,Scotland,1892,Edinburgh,Triple,,,Edinburgh,Edinburgh,Edinburgh,,Edinburgh,Edinburgh,,,,,,,,,,,,,29,43,25,4,,,
MacIntyre,Marion,Marion MacIntyre,Merchant,Retail,,,,Yes,,1880,Dundee,Central Scotland,Q123709,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,A1942,,,,1905,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,P C I China,,,,,,30,#VALUE!,25,5,,,
Mackenzie,Bessie Russell,Bessie Russell Mackenzie,Presbyterian Minister,Minister,,,,Yes,,1890,London,London,Q84,England,England,Scotland,Scot/Scot,Presbyterian,,1982,Dorset,,England,1908,EMCW,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,,,,,,23,92,18,5,,107.2,
Mackenzie,Marion Ellen,Marion Ellen Mackenzie,Doctor,Medical,McManus,Doctor,Medical,Yes,,1873,"Normanton, Yorks",NE England,,England,England,Scotland,Scot/Scot,Anglican,,1951,Leeds,,England,1896,Ed. & LSMW,Edinburgh,Scotland,1903,London,Edinburgh,,,,,,,,,,,,,,,,,,,,18810,30,78,23,7,,,
